Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
2/28/1990,331.8900146,333.480011,330.1600037,330.2600098,184400000
3/1/1990,332.7399902,334.3999939,331.0799866,331.8900146,157930000
3/2/1990,335.5400085,335.5400085,332.7200012,332.7399902,164330000
3/5/1990,333.7399902,336.3800049,333.4899902,335.5400085,140110000
3/6/1990,337.9299927,337.9299927,333.5700073,333.7399902,143640000
3/7/1990,336.9500122,338.8399963,336.3299866,337.9299927,163580000
3/8/1990,340.269989,340.6600037,336.9500122,336.9500122,170900000
3/9/1990,337.9299927,340.269989,336.8399963,340.1199951,150410000
3/12/1990,338.6700134,339.0799866,336.1400146,337.9299927,114790000
3/13/1990,336,338.6700134,335.3599854,338.6700134,145440000
3/14/1990,336.8699951,337.6300049,334.9299927,336,145060000
3/15/1990,338.0700073,338.9100037,336.8699951,336.8699951,144410000
3/16/1990,341.9100037,341.9100037,338.0700073,338.0700073,222520000
3/19/1990,343.5299988,343.7600098,339.1199951,341.9100037,142300000
3/20/1990,341.5700073,344.4899902,340.8699951,343.5299988,177320000
3/21/1990,339.7399902,342.3399963,339.5599976,341.5700073,130990000
3/22/1990,335.6900024,339.769989,333.6199951,339.7399902,175930000
3/23/1990,337.2200012,337.5799866,335.6900024,335.6900024,132070000
3/26/1990,337.6300049,339.7399902,337.2200012,337.2200012,116110000
3/27/1990,341.5,341.5,337.0299988,337.6300049,131610000
3/28/1990,342,342.5799866,340.6000061,341.5,142300000
3/29/1990,340.7900085,342.0700073,339.769989,342,132190000
3/30/1990,339.9400024,341.4100037,338.2099915,340.7900085,139340000
4/2/1990,338.7000122,339.9400024,336.3299866,339.9400024,124360000
4/3/1990,343.6400146,343.7600098,338.7000122,338.7000122,154310000
4/4/1990,341.0899963,344.1199951,340.3999939,343.6400146,159530000
4/5/1990,340.730011,342.8500061,340.6300049,341.0899963,144170000
4/6/1990,340.0799866,341.730011,338.9400024,340.730011,137490000
4/9/1990,341.3699951,341.8299866,339.8800049,340.0799866,114970000
4/10/1990,342.0700073,342.4100037,340.6199951,341.3699951,136020000
4/11/1990,341.9200134,343,341.2600098,342.0700073,141080000
4/12/1990,344.3399963,344.7900085,341.9100037,341.9200134,142470000
4/16/1990,344.7399902,347.2999878,344.1000061,344.3399963,142810000
4/17/1990,344.6799927,345.1900024,342.0599976,344.7399902,127990000
4/18/1990,340.7200012,345.3299866,340.1099854,344.6799927,147130000
4/19/1990,338.0899963,340.7200012,337.5899963,340.7200012,152930000
4/20/1990,335.1199951,338.519989,333.4100037,338.0899963,174260000
4/23/1990,331.0499878,335.1199951,330.0899963,335.1199951,136150000
4/24/1990,330.3599854,332.9700012,329.7099915,331.0499878,137360000
4/25/1990,332.0299988,332.7399902,330.3599854,330.3599854,133480000
4/26/1990,332.9200134,333.7600098,330.6700134,332.0299988,141330000
4/27/1990,329.1099854,333.5700073,328.7099915,332.9200134,130630000
4/30/1990,330.7999878,331.3099976,327.7600098,329.1099854,122750000
5/1/1990,332.25,332.8299866,330.7999878,330.7999878,149020000
5/2/1990,334.480011,334.480011,332.1499939,332.25,141610000
5/3/1990,335.5700073,337.019989,334.4700012,334.480011,145560000
5/4/1990,338.3900146,338.4599915,335.1700134,335.5799866,140550000
5/7/1990,340.5299988,341.0700073,338.1099854,338.3900146,132760000
5/8/1990,342.0100098,342.0299988,340.1700134,340.5299988,144230000
5/9/1990,342.8599854,343.0799866,340.8999939,342.0100098,152220000
5/10/1990,343.8200073,344.980011,342.769989,342.8699951,158460000
5/11/1990,352,352.3099976,343.8200073,343.8200073,234040000
5/14/1990,354.75,358.4100037,351.9500122,352,225410000
