objetivo,modelo,mae,mse,rmse,r2,tipo,hiperparametro
Low,BayesianRidge,24.137260663952365,1221.1875721366741,34.94549430379651,0.9985432469257305,Tradicional,ajustada1
Low,BayesianRidge,24.137260606172894,1221.1875599237248,34.94549412905368,0.9985432469402993,Tradicional,ajustada2
Low,DecisionTree,1157.9612204370922,2157044.0837430474,1468.6878782583615,-1.573135095724508,Tradicional,default
Low,DecisionTree,1232.1381540626505,2345131.4017430367,1531.3821867003144,-1.7975042139330912,Tradicional,ajustada1
Low,DecisionTree,1154.369751641135,2148045.2626401344,1465.621118379554,-1.562400413677644,Tradicional,ajustada2
Low,RandomForest,1156.2779299854014,2153095.5008764374,1467.3430072332908,-1.5684248363334157,Tradicional,default
Low,RandomForest,1156.033993639298,2152469.9330849415,1467.1298282990983,-1.567678597324587,Tradicional,ajustada1
Low,RandomForest,1156.133394111896,2152721.557581016,1467.2155797908554,-1.5679787598602868,Tradicional,ajustada2
Low,HistGradientBoosting,1191.2649675468945,2240418.4319570386,1496.8027364876905,-1.6725922478010222,Tradicional,default
Low,HistGradientBoosting,1214.2114600259117,2299432.040061553,1516.387826402452,-1.7429895045300352,Tradicional,ajustada1
Low,HistGradientBoosting,1191.6977581184472,2241825.8109659506,1497.2727910991873,-1.6742711083992412,Tradicional,ajustada2
Low,XGBoost,1198.2213134765625,2261580.5,1503.8552124456662,-1.6978363990783691,Tradicional,default
Low,XGBoost,1199.0174560546875,2265246.75,1505.0736692933008,-1.7022099494934082,Tradicional,ajustada1
Low,XGBoost,1213.8905029296875,2307440.25,1519.0260860169585,-1.75254225730896,Tradicional,ajustada2
Close,LinearRegression,30.186009914165002,1867.363544377122,43.21300202921711,0.997784487299875,Tradicional,default
Close,LinearRegression,1156.1748525018481,1338607.2886666947,1156.9819742185678,-0.5881757237100849,Tradicional,ajustada1
Close,LinearRegression,30.21809112607516,1870.5273296054972,43.24959340393268,0.9977807336620924,Tradicional,ajustada2
Close,Ridge,30.759208416402803,1888.112593716291,43.452417581951536,0.9977598698211495,Tradicional,default
Close,Ridge,30.222256135556847,1862.1762406840162,43.15294011633525,0.9977906417186255,Tradicional,ajustada1
Close,Ridge,32.08939887766268,2009.571704703931,44.82824672797199,0.9976157660103253,Tradicional,ajustada2
Close,Lasso,31.52790939424644,1915.6586276389123,43.76823765744872,0.9977271881356912,Tradicional,default
Close,Lasso,30.250400831801098,1864.8536403488995,43.1839511896364,0.997787465147583,Tradicional,ajustada1
Close,Lasso,30.22355588186569,1858.2060909025265,43.106914653017405,0.9977953520586601,Tradicional,ajustada2
Close,BayesianRidge,30.1870867380618,1866.7488550561159,43.20588912470285,0.9977852165911806,Tradicional,default
Close,BayesianRidge,30.1870867380618,1866.7488550561159,43.20588912470285,0.9977852165911806,Tradicional,ajustada1
Close,BayesianRidge,30.18708676855139,1866.7488404405835,43.20588895556465,0.997785216608521,Tradicional,ajustada2
Close,DecisionTree,1175.4090274113667,2205783.3113283915,1485.1879717154968,-1.6170270672184164,Tradicional,default
Close,DecisionTree,1248.28781393228,2391594.736656696,1546.4781720595658,-1.8374809653802253,Tradicional,ajustada1
Close,DecisionTree,1172.8208662229363,2199282.6206937265,1482.9978491871545,-1.6093143951444375,Tradicional,ajustada2
Close,RandomForest,1174.9423574534665,2205088.0480877943,1484.9538875291025,-1.616202179882412,Tradicional,default
Close,RandomForest,1175.5297592315915,2206637.0140516497,1485.47534952676,-1.6180399333157571,Tradicional,ajustada1
Close,RandomForest,1175.2521627157844,2205850.1150258845,1485.2104615258688,-1.6171063257220197,Tradicional,ajustada2
Close,HistGradientBoosting,1205.8287042210538,2283065.281173557,1510.9815621553948,-1.708717400468311,Tradicional,default
Close,HistGradientBoosting,1229.426950162716,2343199.2367770397,1530.7512001553484,-1.7800626630174454,Tradicional,ajustada1
Close,HistGradientBoosting,1204.5323169154283,2279584.8378755692,1509.829406878661,-1.704588067242343,Tradicional,ajustada2
Close,XGBoost,1209.5294189453125,2292921.5,1514.2395781381492,-1.7204110622406006,Tradicional,default
Close,XGBoost,1210.322509765625,2297631.0,1515.793851419117,-1.7259986400604248,Tradicional,ajustada1
Close,XGBoost,1210.9609375,2299337.5,1516.3566532976336,-1.7280235290527344,Tradicional,ajustada2
Open,ANN,329.7117919921875,152451.890625,390.4508811937809,0.8190138339996338,Red Neuronal,default
Open,ANN,326.6647033691406,155409.125,394.21964055587085,0.8155030608177185,Red Neuronal,ajustada1
Open,ANN,521.8412475585938,369220.15625,607.634887288411,0.5616732835769653,Red Neuronal,ajustada2
