objetivo,modelo,mae,mse,rmse,r2,tipo,hiperparametro
Close,ANN,81.87869262695312,10108.77734375,100.5424156450898,0.9880065321922302,Red Neuronal,default
Close,BayesianRidge,30.18708676855139,1866.7488404405835,43.20588895556465,0.997785216608521,Tradicional,ajustada2
Close,BiLSTM,366.4621276855469,234365.578125,484.1131873074726,0.7219395637512207,Red Neuronal,ajustada2
Close,CNN+LSTM,358.2893371582031,209193.171875,457.37640065377224,0.7518050670623779,Red Neuronal,ajustada2
Close,DecisionTree,1172.8208662229363,2199282.6206937265,1482.9978491871545,-1.6093143951444375,Tradicional,ajustada2
Close,GRU,270.14764404296875,146548.125,382.8160459019449,0.8261296153068542,Red Neuronal,ajustada1
Close,HistGradientBoosting,1204.5323169154283,2279584.8378755692,1509.829406878661,-1.704588067242343,Tradicional,ajustada2
Close,LSTM,435.0177917480469,402656.0,634.5518103354524,0.5222733020782471,Red Neuronal,ajustada2
Close,Lasso,30.22355588186569,1858.2060909025265,43.106914653017405,0.9977953520586601,Tradicional,ajustada2
Close,LinearRegression,30.186009914165002,1867.363544377122,43.21300202921711,0.997784487299875,Tradicional,default
Close,RandomForest,1174.9423574534665,2205088.0480877943,1484.9538875291025,-1.616202179882412,Tradicional,default
Close,Ridge,30.222256135556847,1862.1762406840162,43.15294011633525,0.9977906417186255,Tradicional,ajustada1
Close,SimpleRNN,458.6689147949219,375111.15625,612.4631876692672,0.5549535751342773,Red Neuronal,ajustada1
Close,XGBoost,1209.5294189453125,2292921.5,1514.2395781381492,-1.7204110622406006,Tradicional,default
High,ANN,135.18133544921875,22928.982421875,151.42318984183038,0.972919225692749,Red Neuronal,ajustada1
High,BayesianRidge,20.637522435420316,901.3897209405413,30.02315308125616,0.9989353930522838,Tradicional,ajustada2
High,BiLSTM,272.512939453125,124257.4140625,352.50165114861517,0.8532429337501526,Red Neuronal,default
High,CNN+LSTM,289.527099609375,140866.890625,375.3223822595716,0.8336259126663208,Red Neuronal,ajustada2
High,DecisionTree,1185.0538047418152,2236423.4464783133,1495.4676347144105,-1.6413790659512708,Tradicional,default
High,GRU,509.4382019042969,420577.4375,648.5194195241959,0.5032674074172974,Red Neuronal,ajustada2
High,HistGradientBoosting,1215.580999263885,2313705.0395564367,1521.0867955368085,-1.7326542591448328,Tradicional,ajustada2
High,LSTM,457.47027587890625,338803.28125,582.0681070544924,0.5998486280441284,Red Neuronal,default
High,Lasso,21.165644322671426,919.3874244622224,30.32140208602205,0.9989141364528719,Tradicional,ajustada1
High,LinearRegression,20.638134725156608,901.5893288362861,30.026477129964583,0.998935157300813,Tradicional,default
High,RandomForest,1185.8940635003946,2238814.5309182033,1496.2668648734434,-1.6442031109211053,Tradicional,default
High,Ridge,20.675801742898003,897.9288974490614,29.965461742630655,0.9989394805370291,Tradicional,ajustada1
High,SimpleRNN,669.1163330078125,698930.875,836.0208579933876,0.17451179027557373,Red Neuronal,ajustada2
High,XGBoost,1214.6767578125,2312974.25,1520.8465570201354,-1.7317907810211182,Tradicional,ajustada1
Low,ANN,73.70117950439453,7407.3427734375,86.06592109213437,0.9911637902259827,Red Neuronal,ajustada1
Low,BayesianRidge,24.137260606172894,1221.1875599237248,34.94549412905368,0.9985432469402993,Tradicional,ajustada2
Low,BiLSTM,161.0320281982422,45846.4921875,214.11793990112085,0.9453097581863403,Red Neuronal,default
Low,CNN+LSTM,301.9926452636719,160650.171875,400.8118908852381,0.8083606362342834,Red Neuronal,default
Low,DecisionTree,1154.369751641135,2148045.2626401344,1465.621118379554,-1.562400413677644,Tradicional,ajustada2
Low,GRU,703.1259765625,782796.0,884.7575939205043,0.06620371341705322,Red Neuronal,default
Low,HistGradientBoosting,1191.2649675468945,2240418.4319570386,1496.8027364876905,-1.6725922478010222,Tradicional,default
Low,LSTM,465.8728942871094,355750.84375,596.4485256499507,0.5756253004074097,Red Neuronal,default
Low,Lasso,24.210854480420487,1211.3396513356788,34.80430506899511,0.9985549944977082,Tradicional,ajustada2
Low,LinearRegression,24.139602057605607,1221.6866618139138,34.952634547540384,0.9985426515623005,Tradicional,default
Low,RandomForest,1156.033993639298,2152469.9330849415,1467.1298282990983,-1.567678597324587,Tradicional,ajustada1
Low,Ridge,24.105639962601728,1209.5363195775299,34.77838868575613,0.9985571456898286,Tradicional,ajustada1
Low,SimpleRNN,473.05487060546875,380619.09375,616.9433472775276,0.545960009098053,Red Neuronal,ajustada2
Low,XGBoost,1198.2213134765625,2261580.5,1503.8552124456662,-1.6978363990783691,Tradicional,default
Open,ANN,33.85238265991211,1930.374755859375,43.93603026969295,0.9977083206176758,Red Neuronal,default
Open,BayesianRidge,13.428387285119735,413.09424212214486,20.324719976475563,0.9995095872403397,Tradicional,ajustada2
Open,BiLSTM,200.94818115234375,82035.8984375,286.41909579757424,0.9026095271110535,Red Neuronal,ajustada2
Open,CNN+LSTM,174.41896057128906,55394.4453125,235.36024582010447,0.9342374205589294,Red Neuronal,ajustada2
Open,DecisionTree,1165.407543307942,2182037.344686014,1477.1720768705366,-1.5904475220765226,Tradicional,default
Open,GRU,435.2519226074219,416289.8125,645.2052483512514,0.505793571472168,Red Neuronal,ajustada2
Open,HistGradientBoosting,1203.7271707081475,2278998.648879427,1509.6352701495243,-1.705556995705296,Tradicional,ajustada2
Open,LSTM,140.4287567138672,59975.22265625,244.89839251463044,0.9287992715835571,Red Neuronal,ajustada2
Open,Lasso,15.498153776495943,474.6734547064605,21.78700196691735,0.9994364822959908,Tradicional,default
